,date,tmp,angle,angle_std
294,19/02/2019,15.81944444,268.25,20.27364874
295,20/02/2019,16.75,311.1111111,44.41832566
296,21/02/2019,17.04722222,317.3611111,16.99207786
297,22/02/2019,16.62777778,301.9166667,15.45131242
298,23/02/2019,17.30555556,254.6388889,104.6937738
299,24/02/2019,19.43055556,239.6944444,141.4957438
300,25/02/2019,26.97222222,144.3333333,13.9084307
301,26/02/2019,17.2,265.4444444,8.684099277
302,27/02/2019,16.01944444,263.8888889,5.221631172
303,28/02/2019,11.45833333,275.25,12.46411516
304,01/03/2019,13.51666667,275.1388889,38.037374
305,02/03/2019,14.05277778,276.7222222,18.51517562
306,03/03/2019,18.075,264.0277778,17.80837211
307,04/03/2019,17.45833333,282.6388889,29.32305954
308,05/03/2019,16.31666667,191.9166667,153.1793384
309,06/03/2019,18.68333333,244.3611111,149.9670617
310,07/03/2019,17.63055556,304.8333333,15.9173211
311,08/03/2019,19.06666667,144.2777778,166.3137282
312,09/03/2019,19.05555556,296.0277778,102.8241449
313,10/03/2019,18.40277778,305.9444444,35.23488206
314,11/03/2019,19.08611111,205.4444444,152.7811515
315,12/03/2019,20.85,222.9166667,148.3133648
316,13/03/2019,25.51666667,261.7777778,31.25087653
317,14/03/2019,14.18611111,266.6111111,8.423768548
318,15/03/2019,19.76111111,268.7222222,37.8033002
319,16/03/2019,15.13611111,264.1388889,7.958757503
320,17/03/2019,16.78611111,285.7777778,11.92828364
321,18/03/2019,20.07777778,188.8055556,154.1319455
322,19/03/2019,22.13611111,293.4722222,126.4721063
323,20/03/2019,20.74166667,301.6944444,55.83498477
324,21/03/2019,20.39444444,315.0555556,51.9299445
325,22/03/2019,20.51666667,297.3888889,99.24612441
326,23/03/2019,19.325,156.3611111,136.8649279
327,24/03/2019,17.64722222,306.6388889,13.89474876
328,25/03/2019,12.70277778,307.3333333,20.63842156
329,26/03/2019,17.11944444,278.8888889,9.940874592
330,27/03/2019,18.48055556,277.1111111,8.00617046
331,28/03/2019,21.08888889,235.6666667,95.14958983
332,29/03/2019,21.30555556,97.02777778,61.34079941
333,30/03/2019,16.89722222,256.3333333,7.314369419
334,31/03/2019,14.71666667,273.4444444,8.67129506
335,01/04/2019,15.91388889,276.3333333,9.486832981
336,02/04/2019,18.81111111,304.7777778,54.35281405
337,03/04/2019,21.20555556,265.3333333,135.6363603
338,04/04/2019,19.23333333,220.1388889,159.9729409
339,05/04/2019,19.59166667,313.8611111,77.16798155
340,06/04/2019,23.53611111,41.52777778,58.83521532
341,07/04/2019,27.71388889,262.8611111,115.997163
342,08/04/2019,22.65,274.5277778,108.6427597
343,09/04/2019,23.61666667,289.75,14.57237684
344,10/04/2019,20.45,311.25,67.03455784
345,11/04/2019,20.75833333,239.25,155.317484
346,12/04/2019,22.08333333,305.2777778,107.2423556
347,13/04/2019,30.33888889,205.6944444,107.3705472
348,14/04/2019,21.51111111,291.8055556,17.26399504
349,15/04/2019,17.925,209.0555556,131.7879071
350,16/04/2019,21.06944444,291.2222222,19.90129967
351,17/04/2019,19.61388889,295.7777778,18.21036199
352,18/04/2019,19.85,305.75,10.29394374
353,19/04/2019,19.18333333,283.9444444,6.480502572
354,20/04/2019,19.07777778,281.6666667,13.55031775
355,21/04/2019,17.09166667,304.0833333,7.729363205
356,22/04/2019,18.39166667,296,15.86925749
357,23/04/2019,20.76666667,180.1944444,169.5344638
358,24/04/2019,25.37777778,233.9722222,155.3244787
359,25/04/2019,27.16111111,341.5277778,8.967491013
360,26/04/2019,28.65833333,313.8055556,92.39432987
361,27/04/2019,26.20555556,329.8888889,11.26394883
362,28/04/2019,28.05,333.8055556,56.50212358
363,29/04/2019,31.68333333,320.2222222,15.55118986
364,30/04/2019,27.45555556,250.7222222,130.294242
365,01/05/2019,34.69714286,165.9714286,162.0402923
366,02/05/2019,28.75555556,211.75,117.4183818
367,03/05/2019,23.025,335.2222222,8.446271732
368,04/05/2019,23.48888889,270.8333333,130.7864035
369,05/05/2019,28.99166667,276.5277778,126.315409
370,06/05/2019,30.35555556,257.1388889,71.82623816
371,07/05/2019,22.85277778,309.2222222,53.90893098
372,08/05/2019,22.86111111,312.8611111,17.01005059
373,09/05/2019,21.66388889,320.75,15.97980496
374,10/05/2019,22.29722222,310,90.27027319
375,11/05/2019,25.75,260.5833333,144.3208953
376,12/05/2019,27.65833333,249.5277778,149.8785594
377,13/05/2019,30.175,303.0555556,104.9745854
378,14/05/2019,31.16944444,267.4166667,136.4130523
379,15/05/2019,29.41666667,256.6388889,145.7915469
380,16/05/2019,34.175,241.9722222,155.2162445
381,17/05/2019,26.98333333,276.1944444,14.67579156
382,18/05/2019,29.60555556,278.8888889,134.6717775
383,19/05/2019,26.09166667,304.4722222,105.8839737
384,20/05/2019,26.96666667,286.1111111,126.6885459
385,21/05/2019,30.08333333,151.9722222,165.5110748
386,22/05/2019,35.10833333,332.9166667,56.27925165
387,23/05/2019,43.175,219.3055556,81.01125417
388,24/05/2019,38.54444444,279.8888889,70.5757189
389,25/05/2019,27.96111111,292.3333333,115.9463477
390,26/05/2019,27.69722222,242.25,158.3055019
391,27/05/2019,27.675,299.3055556,118.7906233
392,28/05/2019,28.34444444,322.6388889,78.11037517
393,29/05/2019,30.38611111,268.9444444,142.2362949
394,30/05/2019,32.46111111,282.8611111,124.9200084
395,31/05/2019,31.27222222,292.25,101.8736622
396,01/06/2019,31.48333333,331.5555556,12.26432143
397,02/06/2019,31.51176471,326.6470588,57.4035674
398,03/06/2019,30.9,267.4166667,140.3068809
399,04/06/2019,31.30277778,127.8333333,160.0018229
400,05/06/2019,32.93333333,131.0277778,159.099809
401,06/06/2019,29.61666667,158.5555556,172.8881212
402,07/06/2019,29.51944444,227.4722222,168.633476
403,08/06/2019,27.17222222,319.3055556,7.023055067
404,09/06/2019,28.84166667,320.5555556,16.3985847
405,10/06/2019,34.46666667,298.1111111,29.61960479
406,11/06/2019,36.41142857,275.5142857,115.5620727
407,12/06/2019,29.26111111,321.6111111,9.193227513
408,13/06/2019,28.35277778,311.9166667,12.60373622
409,14/06/2019,29.125,325.6666667,13.99603118
410,15/06/2019,30.21944444,329.0833333,16.7155533
411,16/06/2019,30.875,316.3333333,14.92760307
412,17/06/2019,30.03055556,308.8888889,20.23305571
413,18/06/2019,30.60555556,308.7222222,16.34797152
414,19/06/2019,31.725,309.4166667,13.22114258
415,20/06/2019,32.125,311.1388889,23.10141022
416,21/06/2019,30.21944444,319.5277778,8.763833861
417,22/06/2019,30.51944444,306.0277778,13.72241903
418,23/06/2019,30.71388889,292.0277778,116.203482
419,24/06/2019,31.52222222,244.1666667,157.0455525
420,25/06/2019,31.80277778,330.3055556,15.7723729
421,26/06/2019,34.92222222,261.7222222,147.7617473
422,27/06/2019,33.78333333,314.1388889,13.13001815
423,28/06/2019,31.15555556,303.6944444,11.49110633
424,29/06/2019,30.95277778,305.9722222,14.63345883
425,30/06/2019,31.91666667,316.6944444,11.82469038
426,01/07/2019,31.61944444,330.4722222,12.32541663
427,02/07/2019,32.35833333,335.4722222,12.26441581
428,03/07/2019,32.11388889,323.5555556,13.12005345
429,04/07/2019,32.01944444,316.0833333,77.21016593
430,05/07/2019,30.85,325.1111111,9.651648615
431,06/07/2019,32.23611111,302.3055556,21.20903823
432,07/07/2019,31.61388889,292.8055556,15.15992422
433,08/07/2019,32.50277778,301.4722222,18.66143693
434,09/07/2019,32.65,302.8611111,22.96876234
435,10/07/2019,33.26944444,308.3888889,22.87560294
436,11/07/2019,33.92222222,314.2222222,12.0002572
437,12/07/2019,33.68888889,314.1111111,10.59815964
438,13/07/2019,30.73055556,302.25,15.4044997
439,14/07/2019,31.55555556,315.4722222,18.07159544
440,15/07/2019,31.39722222,314.4444444,13.16865901
441,16/07/2019,33.37777778,297.2777778,99.81972949
442,17/07/2019,36.12777778,307.25,27.09076821
443,18/07/2019,32.175,322.9722222,16.60569867
444,19/07/2019,31.475,322.8333333,10.25643429
445,20/07/2019,30.75833333,317.5555556,13.00522212
446,21/07/2019,30.39722222,314.9444444,13.8241826
447,22/07/2019,31.74722222,327.4722222,10.10908863
448,23/07/2019,33.58055556,317.4444444,10.25086567
449,24/07/2019,33.825,308.9722222,53.22618722
450,25/07/2019,33.49722222,317.75,25.72652652
451,26/07/2019,32.16388889,312.1388889,24.7545201
452,27/07/2019,31.49722222,312.1388889,8.216354889
453,28/07/2019,31.41944444,308.9166667,11.54550177
454,29/07/2019,32.66388889,311.6111111,22.27265111
455,30/07/2019,34.20555556,281.75,123.163481
456,31/07/2019,33.03823529,272.4705882,124.5011777
457,01/08/2019,32.43611111,315.9166667,16.58710175
458,02/08/2019,31.70555556,303.8333333,12.93895926
459,03/08/2019,32.71944444,303.0555556,11.63554049
460,04/08/2019,32.83888889,296.2222222,22.24623702
461,05/08/2019,32.58888889,307.5833333,12.04015273
462,06/08/2019,32.21666667,303.6666667,10.92397974
463,07/08/2019,31.01111111,310.5277778,15.44252086
464,08/08/2019,32.05277778,317.5,11.2014384
465,09/08/2019,31.98611111,293.3055556,13.92603366
466,10/08/2019,31.98333333,305.0833333,11.215998
467,11/08/2019,33.48055556,318.7222222,29.55936692
468,12/08/2019,35.20277778,322.0833333,16.83807689
469,13/08/2019,35.22222222,331.9444444,12.51209292
470,14/08/2019,33.56388889,314.3611111,16.61015884
471,15/08/2019,36.10555556,237.8055556,143.7576702
472,16/08/2019,35.38611111,309.8333333,74.73676025
473,17/08/2019,31.67777778,308,12.14953131
474,18/08/2019,31.71666667,294.9722222,15.21053383
475,19/08/2019,32.15555556,297.1111111,29.35394898
476,20/08/2019,31.78055556,316.5833333,11.36117903
477,21/08/2019,32.36388889,249.25,152.3901016
478,22/08/2019,32.80277778,299.5555556,118.6553001
479,23/08/2019,32.73333333,326.4444444,77.6149486
480,24/08/2019,32.91666667,316.2222222,9.261962568
481,25/08/2019,33.32777778,324.8611111,13.29609963
482,26/08/2019,33.21388889,286.4722222,113.3510981
483,27/08/2019,32.08888889,324.6944444,11.94854581
484,28/08/2019,31.81944444,318.1944444,14.98298933
485,29/08/2019,31.89722222,321.5,15.0950691
486,30/08/2019,32.15277778,318.7777778,15.9549907
487,31/08/2019,32.98055556,313.8611111,74.67639549
488,01/09/2019,32.43333333,325.25,14.39400917
489,02/09/2019,32.52777778,331.2222222,5.874195506
490,03/09/2019,30.76111111,303.6388889,14.63662222
491,04/09/2019,30.95,303.5,17.9791546
492,05/09/2019,30.79444444,304.9722222,17.31968391
493,06/09/2019,32.06944444,311.8611111,55.05913628
494,07/09/2019,30.73055556,308.4166667,14.02849283
495,08/09/2019,30.54444444,302.6666667,10.30372101
496,09/09/2019,30.43611111,320.0277778,13.79711345
497,10/09/2019,30.78888889,312.75,16.49810595
498,11/09/2019,30.78888889,295.75,51.07911891
499,12/09/2019,30.26388889,301.1944444,19.51042377
500,13/09/2019,30.68055556,311.8888889,20.40802916
501,14/09/2019,29.5,295.4166667,12.10228399
502,15/09/2019,29.825,296,13.17615692
503,16/09/2019,30.18333333,310.6666667,20.29230834
504,17/09/2019,31.44722222,187.6666667,173.624435
505,18/09/2019,31.27222222,317.0555556,95.313793
506,19/09/2019,31.33611111,319.9722222,78.13893826
507,20/09/2019,30.72777778,333.6944444,10.94638308
508,21/09/2019,29.40833333,317.5,10.6653645
509,22/09/2019,30.35,312.1388889,74.14406127
510,23/09/2019,30.33333333,236.8333333,163.2779668
511,24/09/2019,29.77777778,298.2222222,118.775725
512,25/09/2019,29.53055556,325.6944444,14.27861541
513,26/09/2019,30.975,300.7777778,105.6977113
514,27/09/2019,31.12777778,315.1111111,94.3323845
515,28/09/2019,29.86666667,330.6666667,56.58081732
516,29/09/2019,29.04444444,321.3611111,11.78311593
517,30/09/2019,29.78888889,321.8888889,17.63641715
518,01/10/2019,29.44444444,304.3055556,46.48585176
519,02/10/2019,29.66666667,313.1666667,19.64334776
520,03/10/2019,30.12941176,316.1470588,57.88280876
521,04/10/2019,30.09722222,301.2222222,98.67007627
522,05/10/2019,28.18055556,213.1388889,161.8415125
523,06/10/2019,29.09310345,306.3103448,12.61390434
524,07/10/2019,29.63055556,240.2777778,150.6234472
525,08/10/2019,29.85555556,267.5,141.1495464
526,09/10/2019,29.54166667,299.5,118.1861761
