num,name,x,y,date_field
321,נחל גרר‎‎‎,34.481675,31.386545,4/7/2018
322,בין רוחמה לדורות‎‎,34.674397,31.506703,5/7/2018
323,יער שמחוני,34.524617,31.476974,5/7/2018
324,גבים,34.603629,31.505166,5/7/2018
325,יכיני‎,34.596226,31.483466,5/7/2018
326,ניר עם,34.58451,31.515959,5/7/2018
327,ניר עם,34.566078,31.521008,5/7/2018
328,כביש 34,34.579961,31.527648,5/7/2018
329,נחל גרר,34.50737,31.377089,5/7/2018
330,עלומים,34.499989,31.452243,5/7/2018
331,בארי‎,34.479046,31.431446,5/7/2018
332,מאגר שיקמה,34.516232,31.600707,5/7/2018
333,אור הנר,34.607363,31.556633,6/7/2018
334,אור הנר‎,34.602814,31.553817,6/7/2018
335,Havat Shikmim,34.633864,31.511275,6/7/2018
336,חוות השיקמים,34.634228,31.512996,6/7/2018
337,יכיני,34.601462,31.481636,6/7/2018
338,יכיני,34.600775,31.48246,6/7/2018
339,חורשת ארז,34.564568,31.551692,6/7/2018
340,Asaf Siboni Observation Point,34.561754,31.518724,6/7/2018
341,ברור חיל,34.646308,31.559138,6/7/2018
342,שמורת גברעם,34.61204,31.583611,6/7/2018
343,שדרות - רכס כורכר,34.583931,31.55016,6/7/2018
344,נחל הבשור,34.485912,31.292781,6/7/2018
345,אור הנר‎‎,34.607449,31.554549,6/7/2018
346,מצפור אסף סיבוני‎,34.561754,31.518724,7/7/2018
347,ניר עם,34.578481,31.522471,7/7/2018
348,אור הנר,34.594231,31.549136,7/7/2018
349,בארי,34.464369,31.440014,7/7/2018
350,נחל שיקמה,34.704324,31.489227,7/7/2018
351,ניר עם,34.579768,31.523861,7/7/2018
352,נחל עוז,34.487629,31.473035,7/7/2018
353,ארז,34.564018,31.55645,7/7/2018
354,כפר עזה,34.528656,31.488041,7/7/2018
355,כיסופים,34.391327,31.374781,7/7/2018
356,איבים,34.607964,31.534543,8/7/2018
357,ניר עם,34.57273,31.524374,8/7/2018
358,איבים,34.609809,31.534652,8/7/2018
359,ניר עם,34.577751,31.520532,8/7/2018
360,ניר עם,34.577794,31.519069,8/7/2018
361,כפר עזה,34.530072,31.488114,8/7/2018
362,נחל עוז,34.493079,31.477317,8/7/2018
363,ארז,34.556809,31.556158,8/7/2018
364,עין השלושה‎,34.396734,31.3466,9/7/2018
365,גברעם,34.609605,31.589594,9/7/2018
366,אור הנר,34.606365,31.559065,9/7/2018
367,אור הנר,34.607352,31.558087,9/7/2018
368,ניר עם,34.562666,31.520295,9/7/2018
369,יכיני,34.595068,31.483503,9/7/2018
370,גבים,34.598436,31.503282,9/7/2018
371,אור הנר,34.606451,31.556066,10/7/2018
372,כיסופים,34.40712,31.37315,10/7/2018
373,סעד,34.535823,31.465641,10/7/2018
374,בארי,34.48868,31.427931,10/7/2018
375,שובה,34.538999,31.455831,10/7/2018
376,סופה,34.339914,31.238417,11/7/2018
377,כיסופים,34.394417,31.375624,11/7/2018
378,יכיני,34.598265,31.480355,11/7/2018
379,בית הגדי,34.608908,31.425514,11/7/2018
380,בארי,34.479132,31.424635,11/7/2018
381,כרם שלום,34.28052,31.226417,11/7/2018
382,שובה,34.541273,31.456856,11/7/2018
383,בארי,34.491663,31.42859,11/7/2018
384,בארי,34.482222,31.422291,21/7/2018
385,בארי,34.479303,31.421998,11/7/2018
386,בארי,34.47175,31.424488,21/7/2018
387,בארי,34.469004,31.426466,11/7/2018
388,גילת,34.647102,31.323507,11/7/2018
389,כיסופים,34.391842,31.377529,11/7/2018
390,כיסופים,34.387207,31.372033,11/7/2018
391,ברור חיל,34.641609,31.553086,11/7/2018
392,ניר עם,34.573116,31.520167,11/7/2018
393,נחל גרר,34.618349,31.382621,11/7/2018
394,נחל הבשור,34.477501,31.344841,11/7/2018
395,נחל עוז,34.497156,31.476695,12/7/2018
396,נחל עוז,34.493036,31.471974,12/7/2018
397,כפר עזה,34.537904,31.482862,12/7/2018
398,כפר עזה,34.537776,31.483649,12/7/2018
399,כפר עזה,34.530566,31.486998,12/7/2018
400,מפלסים,34.556465,31.499238,12/7/2018
401,חוות שקמים,34.632286,31.512484,12/7/2018
402,יכיני,34.603243,31.481417,12/7/2018
403,יכיני - גבים,34.598436,31.494555,12/7/2018
404,ניר עם,34.568396,31.52024,12/7/2018
405,יער בארי,34.469476,31.435547,12/7/2018
406,יער בארי,34.469905,31.437561,12/7/2018
407,אור הנר,34.605475,31.55294,13/7/2018
408,אור הנר,34.609852,31.553817,13/7/2018
409,אור הנר,34.595776,31.546357,13/7/2018
410,ניר עם,34.572988,31.516691,13/7/2018
411,ניר עם,34.574661,31.516142,13/7/2018
412,ארז,34.565949,31.556304,13/7/2018
413,ארז,34.562044,31.557035,13/7/2018
414,כפר עזה,34.538913,31.485625,13/7/2018
415,כפר עזה,34.532347,31.488297,13/7/2018
416,נחל עוז,34.492993,31.470436,13/7/2018
417,נחל עוז,34.489689,31.470546,13/7/2018
418,גברעם,34.615088,31.583946,13/7/2018
419,ברור חיל,34.647446,31.552354,13/7/2018
420,שובה,34.542046,31.452609,13/7/2018
421,Gvulot,34.459992,31.208103,16/7/2018
422,Shikma,34.52385,31.602224,16/7/2018
423,Yesha,34.403172,31.250085,16/7/2018
424,Kissufim,34.384632,31.383977,16/7/2018
425,Erez,34.557324,31.559229,16/7/2018
426,Reim,34.452095,31.390571,16/7/2018
427,Ein Hashlosha,34.390125,31.351878,16/7/2018
428,Ein Hashlosha,34.392185,31.349092,16/7/2018
429,Alumim,34.503422,31.454293,16/7/2018
430,Beeri,34.478531,31.437012,16/7/2018
431,Gevim,34.600925,31.508752,16/7/2018
432,Kissufim,34.393044,31.383831,16/7/2018
433,Beeri,34.481621,31.429103,16/7/2018
434,Nachal Oz,34.495697,31.467179,16/7/2018
